"No.","Ticker","Market Cap","Dividend Yield","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date","Price","Change","Volume"
691,"BFRA",194.20,,,,,,,,,,,,8/26/2020 4:30:00 PM,8.88,2.54%,225320
692,"BFS",629.65,7.97%,1.90%,16.70%,5.00%,,,6.28,6.28,75.00%,25.50%,13.90%,,25.95,-2.41%,78411
693,"BFST",313.93,2.65%,0.70%,5.80%,23.10%,,,0.38,0.38,,73.00%,15.40%,,14.94,-1.06%,53944
694,"BFY",68.97,4.93%,,,,,,,,,,,,13.80,0.15%,3303
695,"BFZ",422.88,3.45%,,,,,,,,,,,,13.32,-0.22%,72093
696,"BG",6459.31,4.30%,-6.80%,-28.70%,-11.00%,1.50,0.70,0.90,1.37,2.20%,-1.50%,-3.20%,7/29/2020 8:30:00 AM,47.34,1.78%,911219
697,"BGB",541.78,,,,,,,,,,,,,12.12,-0.08%,99800
698,"BGCP",910.82,1.63%,0.40%,3.30%,4.80%,,,1.85,1.86,99.00%,5.40%,1.10%,7/30/2020 8:30:00 AM,2.47,0.41%,2431563
699,"BGFV",128.74,6.83%,1.90%,7.30%,4.50%,1.50,0.20,0.21,0.22,31.40%,2.10%,1.40%,7/28/2020 4:30:00 PM,6.28,7.17%,1156818
700,"BGH",274.08,9.30%,,,,,,,,,,,,13.67,0.07%,36541
701,"BGI",11.91,,-7.50%,-101.00%,-8.40%,0.90,0.10,4.73,21.65,38.10%,-3.90%,-7.50%,,0.63,-6.42%,33234
702,"BGIO",192.68,6.90%,,,,,,,,,,,,8.56,-1.61%,39633
703,"BGNE",22242.23,,-48.70%,-73.50%,-85.60%,6.20,6.10,0.12,0.13,70.40%,,,,262.62,2.94%,406731
704,"BGR",194.46,8.59%,,,,,,,,,,,,6.45,-1.07%,139792
705,"BGRN",,3.59%,,,,,,,,,,,,55.61,0.19%,7734
706,"BGS",1731.84,7.20%,3.40%,14.00%,6.50%,3.10,1.60,2.29,2.30,24.10%,13.90%,6.20%,7/30/2020 4:30:00 PM,27.01,2.31%,996194
707,"BGSF",97.35,2.11%,3.00%,5.50%,15.40%,2.20,2.20,0.61,0.64,27.20%,2.30%,1.30%,8/5/2020 8:30:00 AM,9.32,-1.58%,17344
708,"BGT",261.72,7.94%,,,,,,,,,,,,11.57,-0.09%,39408
709,"BGX",163.93,9.30%,,,,,,,,,,,,12.87,-0.23%,81746
710,"BGY",577.31,7.45%,,,,,,,,,,,,5.42,-1.45%,147212
711,"BH",301.44,,-7.70%,-14.70%,-1.40%,0.50,0.50,0.15,0.46,27.30%,2.60%,-14.90%,,97.71,-0.81%,5762
712,"BHAT",38.53,,,,17.80%,3.40,3.40,0.00,0.04,,,,,1.11,-2.63%,108333
713,"BHB",316.23,4.20%,0.70%,6.40%,18.30%,,,0.15,0.15,,68.90%,19.10%,,20.57,-1.91%,40663
