"No.","Ticker","Market Cap","Dividend Yield","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date","Price","Change","Volume"
2859,"GLV",82.14,,,,,,,,,,,,,9.62,-1.54%,39276
2860,"GLW",24790.73,2.70%,0.40%,1.00%,5.70%,2.30,1.50,0.80,0.80,29.80%,2.70%,1.00%,7/28/2020 8:30:00 AM,32.82,0.55%,3299133
2861,"GLYC",179.16,,-29.70%,-32.30%,,15.80,15.80,0.00,0.00,,,,7/31/2020 4:30:00 PM,3.70,-0.40%,169041
2862,"GM",45061.37,,0.60%,3.70%,3.20%,1.10,1.00,2.22,3.24,8.30%,1.00%,1.30%,7/29/2020 8:30:00 AM,31.92,0.41%,10400405
2863,"GMAB",24336.53,,,,,,,,,,,,,37.57,0.72%,215185
2864,"GMAN",,0.64%,,,,,,,,,,,,69.57,-0.70%,3508
2865,"GMBL",41.76,,,134.80%,,0.00,0.00,,,,,,,4.50,15.09%,1768031
2866,"GMDA",211.69,,-63.40%,-109.90%,,6.70,6.70,0.00,0.00,,,,8/11/2020 8:30:00 AM,4.30,0.00%,143791
2867,"GME",578.70,,-12.60%,-67.30%,-42.40%,1.10,0.70,0.61,1.34,28.10%,-2.90%,-6.10%,9/9/2020 4:30:00 PM,9.20,5.99%,16412463
2868,"GMED",5266.82,,6.00%,6.50%,9.80%,6.60,4.50,0.00,0.00,74.10%,12.70%,11.90%,8/5/2020 4:30:00 PM,52.80,-1.36%,434442
2869,"GMF",,1.74%,,,,,,,,,,,,112.03,-0.41%,7439
2870,"GMHI",506.80,,,,,,,,,,,,,12.50,-1.34%,2024684
2871,"GMLP",179.01,3.14%,0.30%,2.00%,6.70%,0.20,0.20,2.05,3.86,77.20%,45.10%,2.50%,,2.56,0.39%,112977
2872,"GMO",20.57,,-79.00%,-493.80%,,0.10,0.10,,,,,,,0.13,-1.30%,797259
2873,"GMOM",,2.06%,,,,,,,,,,,,24.57,-0.58%,9918
2874,"GMRE",634.14,5.83%,0.40%,1.00%,1.30%,,,1.32,1.32,,11.70%,4.20%,8/5/2020 4:30:00 PM,13.65,-0.51%,182837
2875,"GMS",1009.75,,,,5.20%,2.40,1.60,1.46,1.53,32.80%,,,9/3/2020 8:30:00 AM,23.19,-2.44%,167641
2876,"GMZ",56.92,9.20%,,,,,,,,,,,,8.81,-1.12%,18897
2877,"GNAF",,,,,,,,,,,,,,21.11,2.46%,11793
2878,"GNCA",82.83,,-83.10%,-220.00%,,1.10,1.10,0.00,1.88,,,,7/23/2020 8:30:00 AM,2.54,-7.30%,846914
2879,"GNE",237.25,3.74%,7.80%,15.30%,,1.90,1.60,0.00,0.02,27.80%,6.10%,3.40%,8/6/2020 8:30:00 AM,9.02,-0.77%,206513
2880,"GNFT",183.87,,,,,,,,,,,,,4.75,0.33%,7781
2881,"GNK",301.01,5.23%,-10.50%,-16.60%,,1.90,1.70,0.48,0.58,26.40%,-32.90%,-39.50%,8/5/2020 4:30:00 PM,7.43,-0.40%,101395
2882,"GNL",1574.28,9.21%,0.60%,1.30%,2.40%,,,1.28,1.28,79.70%,29.10%,6.80%,8/5/2020 8:30:00 AM,16.95,-2.47%,354205
2883,"GNLN",32.37,,-11.10%,-71.10%,-113.80%,4.40,2.70,0.41,0.42,18.30%,-26.90%,-10.70%,8/7/2020 8:30:00 AM,2.28,-5.39%,83930
2884,"GNMA",,2.25%,,,,,,,,,,,,51.05,0.10%,33112
2885,"GNMK",884.87,,-26.80%,-108.60%,-51.50%,5.70,5.20,0.78,0.78,37.90%,-21.10%,-26.50%,8/4/2020 4:30:00 PM,12.17,-3.95%,885983
2886,"GNOM",,,,,,,,,,,,,,17.75,-0.20%,19535
2887,"GNPX",154.44,,-103.50%,-107.20%,,100.70,97.00,0.00,0.00,,,,,3.87,1.31%,447665
2888,"GNR",,3.83%,,,,,,,,,,,,39.93,-0.10%,61134
2889,"GNRC",11817.91,,9.60%,25.00%,15.70%,2.70,1.50,0.77,0.82,37.10%,16.30%,11.50%,7/30/2020 8:30:00 AM,184.09,-1.30%,541520
2890,"GNRS",215.51,,,,,4.70,4.70,0.01,0.00,,,,,9.80,-0.46%,6993
2891,"GNSS",168.99,,4.50%,6.40%,7.20%,3.10,2.50,0.00,0.01,50.70%,7.40%,6.40%,8/10/2020 4:30:00 PM,5.23,2.35%,81162
2892,"GNT",106.92,7.00%,,,,,,,,,,,,5.13,-0.19%,114639
2893,"GNTX",6446.95,1.82%,13.70%,15.70%,21.30%,3.90,2.80,0.00,0.04,34.00%,21.00%,18.40%,7/24/2020 8:30:00 AM,26.56,0.57%,1670424
2894,"GNTY",276.93,2.98%,0.90%,8.60%,25.30%,,,0.08,0.15,,81.40%,21.50%,7/20/2020 4:30:00 PM,25.23,-1.06%,9571
2895,"GNUS",236.76,,-899.00%,,-74.90%,6.70,6.70,0.03,0.03,19.00%,,,7/6/2020 8:30:00 AM,1.03,-1.90%,6159049
2896,"GNW",1955.59,,-0.50%,-3.50%,4.30%,,,0.19,0.19,,6.60%,-6.30%,7/29/2020 4:30:00 PM,3.08,-10.98%,11704867
2897,"GO",3582.55,,2.90%,8.30%,5.10%,1.60,0.50,0.54,0.54,31.10%,3.10%,2.20%,8/10/2020 4:30:00 PM,39.98,1.06%,899712
2898,"GOAT",,1.10%,,,,,,,,,,,,32.29,-1.07%,2320
2899,"GOAU",,0.12%,,,,,,,,,,,,24.35,-0.90%,33180
2900,"GOCO",4153.82,,,,-5.40%,2.70,2.70,1.23,1.25,,,,8/19/2020 4:30:00 PM,13.55,8.10%,2108348
2901,"GOED",46.18,,,,-26.60%,0.40,0.40,,,,,,8/20/2020 4:30:00 PM,7.20,-4.89%,6231
2902,"GOEX",,1.29%,,,,,,,,,,,,38.77,-1.60%,6847
2903,"GOF",737.22,12.15%,,,,,,,,,,,,17.83,-1.05%,229922
2904,"GOGL",494.31,5.62%,-4.40%,-8.80%,3.60%,0.40,,0.65,0.96,40.30%,-5.40%,-17.30%,8/18/2020 8:30:00 AM,3.56,0.00%,235330
2905,"GOGO",951.89,,-18.20%,47.00%,-3.20%,1.30,0.90,,,45.70%,-13.20%,-30.70%,8/10/2020 8:30:00 AM,10.12,-7.41%,6011840
2906,"GOL",1168.88,,-27.60%,41.90%,28.30%,0.30,0.30,,,26.30%,7.50%,-37.90%,8/13/2020 8:30:00 AM,8.04,-3.37%,1248078
2907,"GOLD",53949.01,1.07%,9.90%,20.70%,18.70%,3.80,2.60,0.23,0.23,33.40%,71.60%,39.00%,8/10/2020 8:30:00 AM,29.14,-2.83%,25761101
2908,"GOLF",2502.12,1.85%,3.20%,6.50%,11.00%,1.80,1.00,0.36,0.58,51.00%,7.10%,3.90%,8/5/2020 8:30:00 AM,33.56,-0.09%,153736
2909,"GOOD",703.58,8.09%,-0.80%,-3.80%,4.10%,,,3.24,3.24,80.80%,26.60%,-6.80%,7/27/2020 4:30:00 PM,18.22,-1.67%,142668
2910,"GOOG",1044044.64,,,,,,,,,,,,7/30/2020 4:30:00 PM,1495.53,-1.67%,1730310
2911,"GOOGL",1037444.93,,11.60%,15.60%,14.10%,3.40,3.40,0.02,0.02,54.20%,19.80%,19.00%,7/30/2020 4:30:00 PM,1487.04,-1.66%,1897352
2912,"GOOS",1686.08,,,,,,,,,,,,8/11/2020 8:30:00 AM,28.72,0.74%,708471
2913,"GORO",280.47,1.03%,-0.90%,-1.10%,4.00%,2.90,1.40,0.00,0.01,11.90%,1.80%,-1.40%,8/4/2020 4:30:00 PM,3.73,-4.11%,2132764
2914,"GOSS",1012.18,,-47.40%,-60.70%,,22.10,22.10,0.40,0.40,,,,8/11/2020 4:30:00 PM,12.74,-2.08%,211467
2915,"GOVT",,1.68%,,,,,,,,,,,,27.96,0.07%,3807501
2916,"GP",244.64,,,,,,,,,,,,,13.82,3.29%,341030
2917,"GPC",14362.71,3.12%,-1.30%,-5.60%,9.20%,1.20,,0.96,1.13,33.40%,1.00%,-1.10%,7/30/2020 8:30:00 AM,101.83,0.46%,468939
2918,"GPI",1705.69,,2.70%,11.70%,7.10%,1.00,0.30,1.12,2.03,15.40%,2.90%,1.30%,7/30/2020 8:30:00 AM,92.38,1.12%,136288
2919,"GPK",3911.40,2.11%,1.70%,8.10%,10.30%,1.30,0.50,1.99,2.31,17.80%,8.40%,2.00%,7/21/2020 8:30:00 AM,14.20,-0.21%,4476083
2920,"GPL",357.94,,-40.40%,-108.80%,-48.30%,1.10,0.80,0.21,0.81,12.90%,-19.50%,-43.00%,8/5/2020 4:30:00 PM,1.03,0.98%,1840362
2921,"GPM",266.37,8.71%,,,,,,,,,,,,5.46,-0.91%,205050
2922,"GPMT",358.90,,-0.10%,-0.40%,1.60%,,,1.44,3.55,39.40%,-1.60%,-1.60%,8/10/2020 4:30:00 PM,6.76,4.16%,698824
2923,"GPN",53211.63,0.44%,0.90%,1.40%,1.90%,1.00,1.00,0.31,0.35,50.80%,10.80%,5.70%,8/3/2020 8:30:00 AM,181.46,3.23%,2233126
2924,"GPOR",113.73,,-86.80%,-247.80%,-50.00%,0.50,0.50,8.26,8.26,90.10%,,,8/4/2020 4:30:00 PM,0.67,4.16%,5079790
2925,"GPP",165.87,6.87%,37.60%,-56.50%,84.80%,0.40,0.40,,,,59.70%,50.60%,8/3/2020 4:30:00 PM,6.79,-2.86%,21067
2926,"GPRE",528.36,3.19%,-6.30%,-13.50%,-9.20%,1.60,1.10,0.46,0.69,3.70%,-5.50%,-4.30%,8/3/2020 4:30:00 PM,14.94,-0.66%,312026
2927,"GPRK",509.58,,-10.70%,-137.80%,17.00%,1.50,1.40,107.64,112.21,68.90%,6.40%,-20.60%,8/5/2020 4:30:00 PM,8.56,0.71%,79637
2928,"GPRO",642.87,,-14.10%,-55.40%,0.50%,1.70,0.90,1.17,1.39,34.60%,-8.30%,-10.20%,8/6/2020 4:30:00 PM,4.02,-0.25%,1996054
2929,"GPS",6576.20,5.63%,-7.70%,-36.00%,9.40%,1.50,0.80,0.98,0.00,33.10%,-8.90%,-7.40%,8/27/2020 4:30:00 PM,16.90,-1.97%,4276642
2930,"GPX",158.14,,2.30%,4.80%,7.10%,1.70,1.70,0.28,0.00,14.80%,3.40%,1.80%,8/7/2020 8:30:00 AM,8.86,0.57%,25838
2931,"GQRE",,5.04%,,,,,,,,,,,,54.24,-0.89%,10677
2932,"GRA",2904.02,2.70%,1.50%,15.40%,5.30%,1.30,1.10,5.77,7.87,37.20%,5.90%,3.30%,7/30/2020 8:30:00 AM,47.08,6.11%,857510
2933,"GRAF",471.89,,-7.20%,-16.50%,,0.60,0.60,0.00,0.00,,,,,24.95,-4.99%,666782
2934,"GRAM",443.35,,-15.00%,-58.70%,-13.70%,1.10,0.90,0.82,1.11,6.70%,-6.90%,-25.70%,,2.39,3.84%,111516
2935,"GRBK",895.36,,9.00%,15.10%,5.90%,,,0.41,0.41,22.20%,9.80%,9.20%,8/4/2020 4:30:00 PM,18.20,-1.52%,576418
2936,"GRC",838.19,1.79%,7.60%,9.40%,11.20%,5.10,3.30,0.00,0.00,26.00%,10.60%,7.90%,,32.50,0.46%,36116
2937,"GREK",,3.42%,,,,,,,,,,,,21.54,1.03%,19935
2938,"GRES",,1.85%,,,,,,,,,,,,26.52,0.14%,970
2939,"GRF",29.46,7.75%,,,,,,,,,,,,7.18,-0.69%,31
2940,"GRFS",11370.41,2.65%,,,,,,,,,,,,16.68,0.36%,770997
2941,"GRID",,0.97%,,,,,,,,,,,,62.27,-1.21%,30402
2942,"GRIF",276.99,0.95%,-0.90%,-2.90%,4.10%,,,1.81,1.85,71.10%,6.00%,-7.00%,7/9/2020 4:30:00 PM,53.70,2.17%,670
2943,"GRIL",13.48,,-435.10%,758.80%,,0.20,0.20,1.50,7.00,20.40%,-72.90%,,,1.60,3.23%,884891
2944,"GRIN",73.34,,-6.50%,-13.30%,-9.20%,0.70,0.60,1.02,1.46,7.10%,-11.00%,-10.60%,8/27/2020 4:30:00 PM,3.89,2.64%,1087
2945,"GRMN",18694.10,2.48%,15.40%,19.80%,19.00%,2.80,2.10,0.00,0.00,59.20%,24.00%,24.80%,7/29/2020 8:30:00 AM,98.20,-0.19%,646915
2946,"GRNB",,2.19%,,,,,,,,,,,,27.87,0.04%,1418
2947,"GRNQ",62.70,,-17.00%,-38.70%,-30.20%,0.30,0.30,0.20,0.28,77.30%,-41.80%,-44.30%,,1.05,0.00%,64060
2948,"GROW",51.17,1.09%,,,,5.20,5.20,0.00,0.02,,,,9/11/2020 8:30:00 AM,2.72,-1.45%,78713
2949,"GRPN",795.47,,-16.10%,-89.80%,4.70%,1.00,1.00,1.90,3.60,49.30%,-12.90%,-12.00%,8/6/2020 4:30:00 PM,25.39,-6.03%,1262929
2950,"GRTS",123.63,,-61.20%,-85.50%,-72.90%,4.90,4.90,0.00,0.00,,,,8/5/2020 8:30:00 AM,3.33,1.68%,223123
2951,"GRTX",207.45,,-62.60%,,,8.70,8.70,1.51,1.51,,,,,8.40,-0.59%,24609
2952,"GRU",,,,,,,,,,,,,,2.94,3.88%,496
2953,"GRUB",6349.83,,-4.30%,-7.10%,0.10%,1.60,1.60,0.34,0.00,,-7.90%,-7.10%,7/30/2020 8:30:00 AM,68.77,-0.23%,2616140
2954,"GRVY",867.38,,16.50%,25.40%,32.10%,2.80,2.80,0.00,0.00,33.20%,12.40%,10.10%,,128.50,-0.74%,137050
2955,"GRWG",807.29,,1.40%,1.90%,3.90%,2.90,1.30,0.00,0.00,27.20%,1.10%,0.90%,8/13/2020 8:30:00 AM,15.72,-4.03%,2552437
2956,"GRX",190.35,5.71%,,,,,,,,,,,,10.43,-0.76%,25279
2957,"GS",68736.91,2.49%,0.50%,6.00%,1.30%,,,3.00,8.45,68.20%,13.50%,8.80%,7/15/2020 8:30:00 AM,194.90,-2.88%,3416497
2958,"GSAH",992.15,,,,,1.00,1.00,,,,,,,10.44,-0.62%,56902
2959,"GSAT",548.86,,-8.30%,-17.80%,-7.40%,0.60,0.50,0.69,0.78,61.90%,-44.00%,-59.80%,,0.33,-0.21%,1220737
2960,"GSBC",539.10,3.56%,1.30%,10.80%,22.40%,,,0.28,0.28,,72.40%,28.50%,10/21/2020 4:30:00 PM,38.01,-0.45%,30826
2961,"GSBD",633.85,11.34%,-0.70%,-1.70%,5.50%,,,1.49,1.49,58.20%,55.50%,-8.30%,8/10/2020 4:30:00 PM,15.87,0.00%,101457
2962,"GSEU",,2.13%,,,,,,,,,,,,29.85,-0.53%,56
2963,"GSEW",,1.88%,,,,,,,,,,,,50.34,-0.45%,56378
2964,"GSG",,,,,,,,,,,,,,10.98,1.29%,325434
2965,"GSH",2318.92,4.44%,-1.70%,-2.20%,2.70%,1.00,0.90,0.04,0.04,-3.80%,-4.00%,-3.40%,,9.28,-2.01%,11737
2966,"GSHD",2979.58,,4.20%,-57.60%,30.10%,,,97.00,99.08,,10.90%,4.00%,7/30/2020 4:30:00 PM,79.98,-2.00%,183542
2967,"GSIE",,3.05%,,,,,,,,,,,,28.88,0.24%,542314
2968,"GSIT",151.49,,-15.70%,-17.90%,-12.30%,9.90,9.30,0.00,0.00,54.50%,-44.40%,-44.10%,7/30/2020 4:30:00 PM,6.38,-0.78%,59734
2969,"GSJY",,2.56%,,,,,,,,,,,,33.23,0.10%,1222
2970,"GSK",99731.81,4.79%,8.00%,53.60%,14.30%,1.00,0.70,1.89,2.33,68.00%,25.50%,19.10%,,39.46,0.09%,2589236
2971,"GSKY",794.25,,1.70%,353.00%,31.20%,,,,,58.00%,13.80%,3.20%,8/11/2020 4:30:00 PM,4.32,0.70%,466131
2972,"GSL",103.13,,1.70%,5.70%,8.60%,1.00,0.90,1.76,1.95,61.10%,38.20%,8.20%,8/6/2020 8:30:00 AM,5.41,-5.42%,57670
2973,"GSLC",,1.71%,,,,,,,,,,,,67.83,-0.82%,458922
2974,"GSM",113.89,,-16.30%,-47.20%,-30.70%,2.00,1.00,0.87,0.91,25.00%,-26.20%,-20.70%,8/31/2020 4:30:00 PM,0.70,6.45%,1640271
2975,"GSMG",214.07,,1.50%,1.60%,,3.30,3.30,0.02,0.10,64.70%,,11.10%,,3.69,0.54%,41177
2976,"GSP",,,,,,,,,,,,,,9.45,1.39%,14944
2977,"GSS",646.74,,-12.40%,-69.30%,-49.60%,0.80,0.40,1.35,1.68,25.80%,-6.50%,-16.60%,7/28/2020 4:30:00 PM,4.95,-1.20%,488940
2978,"GSSC",,1.34%,,,,,,,,,,,,43.08,-0.38%,17328
2979,"GSST",,1.97%,,,,,,,,,,,,50.78,0.03%,8289
2980,"GSUM",45.54,,-59.90%,277.70%,-759.00%,0.50,0.50,,,76.30%,,,,1.15,5.51%,216109
2981,"GSV",255.18,,,,,,,,,,,,,0.84,-0.81%,506933
2982,"GSX",23611.17,,8.60%,20.60%,12.80%,1.10,1.10,0.00,0.00,77.60%,5.40%,7.30%,9/2/2020 8:30:00 AM,105.43,1.21%,4336275
2983,"GSY",,2.29%,,,,,,,,,,,,50.56,-0.01%,566569
2984,"GT",2153.24,,-9.50%,-41.70%,-0.20%,1.20,0.60,2.01,2.46,16.40%,-6.50%,-12.70%,7/31/2020 8:30:00 AM,8.96,-3.34%,3181503
2985,"GTE",99.33,,-34.70%,-77.30%,2.90%,1.40,1.40,1.92,1.93,54.10%,,,8/4/2020 4:30:00 PM,0.27,-0.37%,1565206
2986,"GTEC",26.70,,,,7.50%,1.50,1.30,0.01,0.84,,,,,2.81,4.07%,18395
2987,"GTES",3409.32,,0.90%,2.70%,15.00%,3.10,2.30,1.16,1.19,36.00%,7.50%,2.50%,8/4/2020 4:30:00 PM,11.90,-0.50%,251730
2988,"GTH",1021.36,,,,-90.70%,,,,,45.70%,-98.60%,,,11.52,0.00%,53531
2989,"GTHX",607.57,,-46.80%,-53.40%,,11.00,11.00,0.10,0.10,,,,8/5/2020 4:30:00 PM,15.64,-1.82%,500448
2990,"GTIM",18.10,,-21.00%,-100.80%,-8.70%,0.90,0.80,1.39,1.79,19.40%,-16.30%,-17.80%,8/13/2020 4:30:00 PM,1.52,4.11%,4940
2991,"GTIP",,1.97%,,,,,,,,,,,,56.83,0.00%,1833
2992,"GTLS",2625.09,,2.40%,4.90%,3.70%,1.90,1.20,0.59,0.60,28.30%,8.10%,4.50%,7/23/2020 8:30:00 AM,70.86,0.50%,366109
2993,"GTN",1473.50,,2.30%,11.30%,7.80%,2.60,2.60,2.54,0.00,34.60%,24.40%,7.90%,8/6/2020 8:30:00 AM,15.43,0.13%,279674
2994,"GTO",,2.32%,,,,,,,,,,,,58.15,0.03%,40270
2995,"GTS",447.86,,1.50%,4.70%,9.80%,,,0.06,0.07,,2.30%,1.30%,8/6/2020 8:30:00 AM,18.34,0.49%,51399
2996,"GTT",405.07,,-3.40%,-58.00%,3.40%,0.60,0.60,16.59,16.77,44.90%,5.40%,-9.50%,,6.33,-0.78%,256148
2997,"GTX",234.21,,9.90%,-10.20%,-54.00%,0.90,0.70,,,19.70%,9.90%,7.70%,7/30/2020 8:30:00 AM,2.40,-20.10%,10932224
2998,"GTY",1216.61,5.23%,3.90%,8.20%,6.20%,,,0.89,0.89,79.30%,46.40%,33.30%,7/22/2020 4:30:00 PM,27.56,-2.55%,109137
2999,"GTYH",157.06,,-15.40%,-20.90%,-29.90%,0.40,0.40,0.01,0.05,61.70%,,,8/7/2020 8:30:00 AM,2.68,-5.96%,44828
3000,"GUDB",,3.49%,,,,,,,,,,,,52.35,-0.23%,440
3001,"GUNR",,3.38%,,,,,,,,,,,,29.80,-0.23%,695901
3002,"GURE",47.70,,-9.40%,-10.00%,-9.80%,35.20,35.00,0.01,0.01,62.20%,,,8/17/2020 8:30:00 AM,4.95,-1.00%,7514
3003,"GURU",,0.37%,,,,,,,,,,,,37.88,-1.15%,1002
3004,"GUSH",,20.83%,,,,,,,,,,,,27.17,0.52%,2001269
3005,"GUT",425.99,7.71%,,,,,,,,,,,,7.52,-3.30%,112807
3006,"GV",109.64,,5.70%,12.10%,8.10%,2.60,,0.48,0.61,18.20%,6.60%,4.40%,8/5/2020 4:30:00 PM,4.28,-3.39%,106715
3007,"GVA",845.45,2.86%,-4.20%,-8.30%,2.60%,1.80,1.60,0.32,0.33,5.50%,-3.90%,-3.10%,,18.55,2.09%,266955
3008,"GVAL",,3.64%,,,,,,,,,,,,18.21,0.47%,4391
3009,"GVI",,2.12%,,,,,,,,,,,,117.87,-0.02%,44261
3010,"GVIP",,0.35%,,,,,,,,,,,,75.61,-1.24%,8176
3011,"GVP",20.60,,-28.60%,-89.10%,-34.10%,1.10,1.10,0.83,1.94,25.00%,-14.70%,-23.30%,8/19/2020 4:30:00 PM,1.00,-3.04%,150582
3012,"GWB",738.91,0.30%,-5.00%,-41.80%,16.50%,,,0.09,0.09,,61.40%,,7/29/2020 8:30:00 AM,13.48,0.45%,454255
3013,"GWGH",274.98,,2.20%,98.90%,-1.30%,,,27.75,27.75,,-2.10%,46.90%,,8.25,-0.36%,4240
3014,"GWPH",3224.66,,-6.40%,-7.70%,-15.90%,5.80,5.00,0.02,0.02,92.10%,-12.20%,-12.60%,8/6/2020 4:30:00 PM,102.01,-3.67%,484240
3015,"GWRE",9188.97,,-0.90%,-1.30%,0.50%,6.90,6.90,0.21,0.21,52.90%,-5.30%,-2.90%,9/2/2020 4:30:00 PM,105.98,-1.10%,559018
3016,"GWRS",253.69,2.57%,0.40%,3.40%,4.20%,2.30,2.30,3.37,3.37,97.80%,19.00%,2.80%,8/6/2020 8:30:00 AM,11.22,-0.36%,8681
3017,"GWW",18902.06,1.72%,9.50%,33.40%,23.30%,3.50,2.30,1.71,1.73,37.10%,7.60%,5.40%,7/23/2020 8:30:00 AM,355.43,-0.36%,218764
3018,"GWX",,3.60%,,,,,,,,,,,,30.96,0.52%,35216
3019,"GXC",,1.29%,,,,,,,,,,,,119.06,-0.41%,139689
3020,"GXF",,0.64%,,,,,,,,,,,,25.16,0.78%,3980
3021,"GXG",,4.57%,,,,,,,,,,,,24.69,-0.93%,1894
3022,"GXTG",,,,,,,,,,,,,,33.87,-1.25%,1939
3023,"GYC",,,,,,,,,,,,,,24.71,1.52%,965
3024,"GYLD",,9.91%,,,,,,,,,,,,11.71,0.01%,10731
3025,"GYRO",25.40,,,,,,,,,,,,,17.13,0.00%,0
3026,"H",6352.81,,3.30%,7.50%,-0.30%,2.80,2.70,0.71,0.72,44.50%,-6.10%,7.40%,8/3/2020 4:30:00 PM,59.46,-2.72%,920607
3027,"HA",672.73,3.22%,-3.00%,-12.50%,13.40%,0.90,0.90,1.12,1.22,20.60%,-6.30%,-5.80%,7/28/2020 4:30:00 PM,14.72,-1.14%,992902
3028,"HACK",,1.42%,,,,,,,,,,,,46.09,-0.80%,124537
3029,"HAE",4638.28,,7.50%,16.20%,9.60%,1.90,1.10,0.49,0.87,48.50%,13.60%,10.10%,8/4/2020 8:30:00 AM,83.67,-4.21%,300926
3030,"HAFC",273.15,3.60%,0.50%,4.80%,19.20%,,,0.22,0.22,,55.20%,11.30%,7/28/2020 4:30:00 PM,8.71,-1.91%,104329
3031,"HAIL",,1.38%,,,,,,,,,,,,38.08,-0.53%,7133
3032,"HAIN",3540.79,,-3.60%,-5.50%,2.90%,1.90,1.00,0.19,0.20,22.70%,2.70%,-3.90%,8/25/2020 8:30:00 AM,35.23,2.41%,809928
3033,"HAL",13247.89,1.19%,-16.70%,-54.40%,-2.50%,2.20,1.60,1.86,1.89,10.70%,-19.80%,-21.40%,10/19/2020 8:30:00 AM,14.81,-1.73%,10908117
3034,"HALL",55.02,,-5.90%,-36.30%,1.30%,,,0.52,0.52,,-19.70%,-17.90%,,3.02,1.00%,230390
3035,"HALO",3817.10,,-8.10%,-31.70%,-13.70%,19.20,17.30,3.69,3.69,72.00%,-16.80%,-22.00%,8/10/2020 4:30:00 PM,28.03,0.25%,911970
3036,"HAP",,3.39%,,,,,,,,,,,,33.94,0.02%,899
3037,"HAPP",49.75,,18.40%,19.80%,15.20%,12.70,12.30,0.00,0.04,46.80%,23.70%,19.50%,,2.00,0.50%,107928
3038,"HARP",412.14,,-32.70%,-62.20%,-61.80%,4.50,4.50,0.00,0.00,,,,,17.26,5.12%,133684
3039,"HAS",10746.45,3.46%,4.30%,14.80%,8.20%,1.60,1.30,1.84,1.99,55.40%,9.40%,7.60%,7/27/2020 8:30:00 AM,80.41,2.42%,1140777
3040,"HASI",3105.34,3.33%,3.60%,9.20%,3.50%,,,1.62,1.62,55.70%,61.10%,54.20%,8/6/2020 4:30:00 PM,39.39,-3.43%,471342
3041,"HAUZ",,5.10%,,,,,,,,,,,,24.79,0.24%,31792
3042,"HAWX",,3.49%,,,,,,,,,,,,26.88,-0.35%,5240
3043,"HAYN",239.91,4.63%,0.40%,0.80%,4.70%,5.20,1.70,0.03,0.13,14.40%,2.80%,0.60%,7/30/2020 4:30:00 PM,19.28,1.42%,110198
3044,"HBAN",9957.25,6.07%,0.70%,7.70%,13.10%,,,0.92,0.92,,72.90%,20.60%,7/23/2020 8:30:00 AM,9.79,-1.01%,7673040
3045,"HBB",301.58,1.77%,7.10%,40.80%,18.70%,1.10,0.60,0.00,0.68,21.80%,5.70%,3.20%,8/5/2020 4:30:00 PM,21.00,-2.23%,26523
3046,"HBCP",231.80,3.40%,0.80%,5.70%,24.00%,,,0.02,0.02,,82.20%,17.50%,,26.10,0.89%,4042
3047,"HBI",5603.31,3.70%,6.70%,47.10%,17.60%,2.00,1.00,3.69,3.81,39.10%,11.70%,7.80%,7/30/2020 8:30:00 AM,15.82,-2.41%,4789579
3048,"HBIO",125.39,,-5.10%,-10.50%,0.90%,1.90,0.90,0.54,0.57,56.00%,-2.30%,-7.70%,8/5/2020 8:30:00 AM,3.14,-0.63%,73891
3049,"HBM",1204.46,0.43%,,,,,,,,,,,8/11/2020 4:30:00 PM,4.73,2.60%,929931
3050,"HBMD",183.27,,-0.60%,-5.10%,17.50%,,,0.10,0.10,,77.20%,-17.40%,7/27/2020 4:30:00 PM,9.37,-2.09%,56558
3051,"HBNC",466.80,4.58%,1.20%,10.10%,20.40%,,,1.07,1.07,,72.20%,31.00%,7/29/2020 4:30:00 PM,10.31,-1.72%,88622
3052,"HBP",62.44,,-4.80%,-36.60%,-8.20%,2.30,1.10,3.47,3.52,20.20%,-1.20%,-1.90%,8/3/2020 4:30:00 PM,2.37,3.04%,20487
3053,"HBT",333.09,4.95%,1.40%,13.80%,2.30%,,,0.11,8.92,,43.70%,33.10%,7/27/2020 8:30:00 AM,12.06,-0.58%,34691
3054,"HCA",46884.76,,7.30%,-120.20%,19.10%,1.10,0.90,,,83.70%,13.30%,6.70%,7/22/2020 8:30:00 AM,137.14,-0.63%,1176931
3055,"HCAC",461.95,,0.10%,0.10%,,0.30,0.30,0.00,0.00,,,,,12.40,-3.13%,1206490
3056,"HCAP",20.14,,,,,,,,,,,,8/7/2020 8:30:00 AM,3.35,-0.88%,3608
3057,"HCAT",1402.97,,-28.20%,-46.60%,-22.80%,7.90,7.90,0.70,0.70,49.60%,-44.80%,-57.50%,8/11/2020 4:30:00 PM,35.71,-0.53%,637542
3058,"HCC",919.99,1.03%,5.70%,10.20%,29.00%,4.00,2.80,0.52,0.53,27.00%,12.60%,8.90%,8/5/2020 4:30:00 PM,20.72,7.02%,647476
3059,"HCCH",70.83,,-1.70%,-1.70%,,0.10,0.10,0.01,0.03,,,,,11.09,-0.89%,84923
3060,"HCCI",363.70,,1.40%,2.40%,3.30%,1.70,1.40,0.11,0.11,,2.50%,1.50%,,15.43,-1.53%,23691
3061,"HCCO",333.94,,,,,2.10,2.10,0.00,0.00,,,,,10.23,-1.63%,196389
